raw_source,type,generated_text
지능형 감지 쓰레기통 가정용 거실 주방 전동 자동 감지 방취 쓰레기통 대용량 친환경 쓰레기통,Related Keywords,"지능형 쓰레기통, 쓰레기통, 쓰레기통 자동, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취, 쓰레기통 방취"
축구 운동화 남성용 2023 신형 통기성 메쉬 러닝화 경량 편안 학생 캐주얼 스포츠 트렌드 신발,Product Title,"축구 운동화 남성용 2023 신형 통기성 메쉬 러닝화 경량 편안 학생 캐주얼 스포츠 트렌드 신발
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
전자레인지 다기능 스마트 가정용 소형 베이킹 오븐 일체형 기계 고속 가열 회전 해동 전자동 식품 가공 장비,Related Keywords,"전자레인지, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐, 전자레인지 오븐"
2023 봄 신상품 남성 캐주얼 바지 순색 와이드핏 스트레이트 롱팬츠 비즈니스 캐주얼 바지 일상 편안한 남성복,Product Title,"2023 봄 신상품 남성 캐주얼 바지 순색 와이드핏 스트레이트 롱팬츠 비즈니스 캐주얼 바지 일상 편안한 남성복
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
경사금색 실크 벨벳 이브닝백 여성 2024 신상 유럽 스타일 체인 숄더 크로스백,Product Title,"경사금색 실크 벨벳 이브닝백 여성 2024 신상 유럽 스타일 체인 숄더 크로스백
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
"【신상품 출시】애플 iPhone 14 Pro Max 스마트폰 전국 통신 5G 버전 256GB 스페이스 그레이 색상, 듀얼 SIM 대기 지원, 고화질 카메라, 긴 배터리 지속력",Detailed Description,"1 아이폰 14 프로 맥스는 아이폰 13 프로 맥스보다 더 큰 화면을 가지고 있다
2 아이폰 14 프로 맥스는 아이폰 13 프로 맥스보다 더 큰 화면을 가지고 있다
3 아이폰 14 프로 맥스는 아이폰 13 프로 맥스보다 더 큰 화면을 가지고 있다
4 아이폰 14 프로 맥스는 아이폰 13 프로 맥스보다 더 큰 화면을 가지고 있다
5 아이폰 14 프로 맥스는 아이폰 13 프로 맥스보다 더 큰 화면을 가지고 있다
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
"지능형 블루투스 이어폰 무선 스포츠용 방수 소음 감소 이어플러그, 애플 및 안드로이드 폰에 적합한 범용 모델",Product Title,"무선 블루투스 이어폰
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
【바바 농장 교환 전용】 자색 피패션프루트 1.5근 포장,Product Title,자색 피패션프루트 15
청년 남성 2023 신상 봄가을 레트로 오버사이즈 캐주얼 자켓 트렌디 상의,Product Title,"청년 남성 2023 신상 봄가을 레트로 오버사이즈 캐주얼 자켓 트렌디 상의
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진
시스템사진"
지능 터치 블루투스 이어폰 무선 5.0 스테레오 스포츠 이어플러그 방수 소음 감소 이어폰 충전 케이스 포함 애플,Product Title,"### Instruction:Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:지능 터치 블루투스 이어폰 무선 5.0 스테레오 스포츠 이어플러그 방수 소음 감소 이어폰 충전 케이스 포함 애플


### Product Title:지능 터치 블루투스 이어폰 무선 5.0 스테레오 스포츠 이어플러그 방수 소음 감소 이어폰 충전 케이스 포함 애플


### Instruction:Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:지능 터치 블루투스 이어폰 무선 5.0 스테레오

지능 터치 블루투스 이어폰 무선 50 스테레오 스포츠 이어플러그 방수 소음 감소 이어폰 충전 케이스 포함 애플"
