raw_source,type,generated_text
지능형 감지 쓰레기통 가정용 거실 주방 전동 자동 감지 방취 쓰레기통 대용량 친환경 쓰레기통,Related Keywords,"1. 지능형 쓰레기통 (Intelligent Trash Can)
2. 가정용 쓰레기통 (Home Trash Can)
3. 전동 쓰레기통 (Electric Trash Can)
4. 자동 쓰레기통 (Automatic Trash Can)
5. 방취 쓰레기�

1 지능형 쓰레기통   
2 가정용 쓰레기통   
3 전동 쓰레기통   
4 자동 쓰레기통   
5 방취 쓰레기"
축구 운동화 남성용 2023 신형 통기성 메쉬 러닝화 경량 편안 학생 캐주얼 스포츠 트렌드 신발,Product Title,"The product title is generated based on the raw source provided, which is a sentence in Korean. The title is written in a clear and concise manner, using simple language that is easy to understand for a Korean-speaking audience. The title includes important keywords such as ""new type,"" ""lightweight,"" ""breathable,"" ""men's,"" ""sports,"" ""mesh,"" ""running,"" and ""comfortable wear,"" which are likely to be searched by potential customers.

No text found."
전자레인지 다기능 스마트 가정용 소형 베이킹 오븐 일체형 기계 고속 가열 회전 해동 전자동 식품 가공 장비,Related Keywords,"1. 전자레인지 스마트 가정용 베이킹 오븐
2. 다기능 스마트 가정용 베이킹 오븐
3. 소형 베이킹 오븐
4. 일체형 기계 고속 가열 베이킹 오븐
5. 

1 전자레인지 스마트 가정용 베이킹 오븐
2 다기능 스마트 가정용 베이킹 오븐
3 소형 베이킹 오븐
4 일체형 기계 고속 가열 베이킹 오븐
5"
2023 봄 신상품 남성 캐주얼 바지 순색 와이드핏 스트레이트 롱팬츠 비즈니스 캐주얼 바지 일상 편안한 남성복,Product Title,"### Explanation:

The raw source is a sentence in Korean that describes a product, and the task is to generate a product title in Korean that accurately reflects the content of the sentence.

The product title I generated is ""2023 Spring New Arrivals - Comfortable and Stylish Men's Wide-Leg Pants for Business and Casual Wear."" This title

No text found."
경사금색 실크 벨벳 이브닝백 여성 2024 신상 유럽 스타일 체인 숄더 크로스백,Product Title,"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Japanese.

### Raw Source: 紅色の緑系のT恤を着た人は、彼女の心を掴んでしまう。
### Product Title: 💖 Captivating Red Green Tee! The One That Will Win Her Heart 💖

### Instruction:

No text found."
"【신상품 출시】애플 iPhone 14 Pro Max 스마트폰 전국 통신 5G 버전 256GB 스페이스 그레이 색상, 듀얼 SIM 대기 지원, 고화질 카메라, 긴 배터리 지속력",Detailed Description,"### Instruction: Write five detailed descriptions in Korean for the following raw source:

Raw Source: 【신상품 출시】LG 플레이스테이션 4K 홀로닷 게임 플레이 능력 향상, 새로운 액세스 통신 기술 적용

Please write five detailed descriptions in Korean for the following raw source:

Raw Source: 【신상품 출시】LG 플레이스테이션 4K 홀로닷 게임 플레이 능력 향상, 새로운 액세스 통신 기술 적용

Each description should be relevant to the raw source and provide detailed information about the product's features, benefits, and applications.

1 애플  14   스마트폰의 5 버전은 전국 통신 서비스를 지원하며, 256 스페이스에 저장할 수 있는 매우 큰 애플리케이션을 실행할 수 있습니다
2 듀얼  대기 지원으로 양방향 통신을 지원하며, 이를 통해 활발한 통신 서비스를 즐길 수 있습니다
3 고화질 카메라를 탑재하여 초저변 사진을 찍을 수 있으며, 이를 통해 생생한 초저변 사진을 즐길 수 있습니다
4 긴 배터리 지속력으로 더 많은 애플리케이션을 실행할 수 있으며, 이를 통해 더 큰 즐거움을 즐기는 것이 가능합니다
5 애플  14   스마트폰은 새로운 애플 앱 및 서비스를 실행할 수 있으며, 이를 통해 더 즐거운 생활을 즐기는 것이 가능합니다"
"지능형 블루투스 이어폰 무선 스포츠용 방수 소음 감소 이어플러그, 애플 및 안드로이드 폰에 적합한 범용 모델",Product Title,"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Japanese.

### Raw Source: 블루투스 이어폰 무선 스포츠용 방수 소음 감소 이어플러그, 애플 

No text found."
【바바 농장 교환 전용】 자색 피패션프루트 1.5근 포장,Product Title,"The product title in Korean is: 바바 농장 교환 전용 자색 피패션프루트 1.5근 포장.

Explanation:

* 바바 (Baba) is a common Korean term for ""farm"" or ""agriculture"".
* 농장 (Nongjang) is a term for a farm or agricultural land.
*

바바 농장 교환 전용 자색 피패션프루트 15근 포장

      바바 농장 교환 전용 자색 피패션프루트 15근 포장



 바바          
 농장"
청년 남성 2023 신상 봄가을 레트로 오버사이즈 캐주얼 자켓 트렌디 상의,Product Title,"Explanation:

* 청년 (cheongnyeon) means ""young man"" in Korean.
* 남성 (mansin) means ""man"" in Korean.
* 2023 (2023) is the year of release.
* 신상 (sin-sang) means ""new arrival"" in Korean.
* 봄 (bom) means ""spring"" in Korean.
* 가을 (gak) means ""autumn"" in Korean.
* 레

2023            



 청년      
 남성     
 2023 2023     
 신상 -     
 봄     
 가을     
 레"
지능 터치 블루투스 이어폰 무선 5.0 스테레오 스포츠 이어플러그 방수 소음 감소 이어폰 충전 케이스 포함 애플,Product Title,"The product title in Korean is: 지능 터치 블

지능 터치 블루투스 이어폰 50 스테레오 스포츠 이어플러그 - 방수 소음 감소 이어폰 충전 케이스 포함

      지능 터치 블"
